,instant,Date,Season,Month,Hour,Holiday,Weekdays,Weather-situation,Temperature,Atemp,Humidity,Windspeed,Casual,Registered,Total Count
46,47,02-01-2011,Spring,1,23,False,0,Clear,-17.655555555555555,-17.6515,0.47,0.1642,0,8,8.0
47,48,03-01-2011,Spring,1,0,False,1,Clear,-17.655555555555555,-17.668333333333337,0.44,0.3582,0,5,5.0
48,49,03-01-2011,Spring,1,1,False,1,Clear,-17.666666666666668,-17.66670283806344,0.44,0.4179,0,2,2.0
49,50,03-01-2011,Spring,1,4,False,1,Clear,-17.688888888888886,-17.702,0.47,0.3881,0,1,1.0
50,51,03-01-2011,Spring,1,5,False,1,Clear,-17.688888888888886,-17.702,0.47,0.2836,0,3,3.0
51,52,03-01-2011,Spring,1,6,False,1,Clear,-17.700000000000003,-17.718833333333333,0.5,0.3881,0,30,30.0
52,53,03-01-2011,Spring,1,7,False,1,Clear,-17.700000000000003,-17.702,0.5,0.194,1,63,64.0
53,54,03-01-2011,Spring,1,8,False,1,Clear,-17.700000000000003,-17.710444444444445,0.5,0.2836,1,153,154.0
54,55,03-01-2011,Spring,1,9,False,1,Clear,-17.688888888888886,-17.702,0.43,0.3881,7,81,88.0
55,56,03-01-2011,Spring,1,10,False,1,Clear,-17.677777777777777,-17.685166666666667,0.43,0.2537,11,33,44.0
56,57,03-01-2011,Spring,1,11,False,1,Clear,-17.666666666666668,-17.67677777777778,0.4,0.3284,10,41,51.0
57,58,03-01-2011,Spring,1,12,False,1,Clear,-17.655555555555555,-17.659944444444445,0.35,0.2985,13,48,61.0
58,59,03-01-2011,Spring,1,13,False,1,Clear,-17.644444444444446,-17.66670283806344,0.35,0.2836,8,53,61.0
59,60,03-01-2011,Spring,1,14,False,1,Clear,-17.633333333333333,-17.64311111111111,0.3,0.2836,11,66,77.0
60,61,03-01-2011,Spring,1,15,False,1,Clear,-17.633333333333333,-17.64311111111111,0.3,0.2537,14,58,72.0
61,62,03-01-2011,Spring,1,16,False,1,Clear,-17.633333333333333,-17.64311111111111,0.3,0.2537,9,67,76.0
62,63,03-01-2011,Spring,1,17,False,1,Clear,-17.644444444444446,-17.6515,0.3,0.2239,11,146,157.0
63,64,03-01-2011,Spring,1,18,False,1,Clear,-17.644444444444446,-17.634666666666664,0.32,0.1045,9,148,157.0
64,65,03-01-2011,Spring,1,19,False,1,Clear,-17.666666666666668,-17.634666666666664,0.47,0.0,8,102,110.0
65,66,03-01-2011,Spring,1,20,False,1,Clear,-17.666666666666668,-17.66670283806344,0.47,0.1045,3,49,52.0
66,67,03-01-2011,Spring,1,21,False,1,Clear,-17.677777777777777,-17.668333333333337,0.64,0.1343,3,49,52.0
67,68,03-01-2011,Spring,1,22,False,1,Clear,-17.700000000000003,-17.69361111111111,0.69,0.1343,0,20,20.0
68,69,03-01-2011,Spring,1,23,False,1,Clear,-17.677777777777777,-17.659944444444445,0.55,0.1045,1,11,12.0
69,70,04-01-2011,Spring,1,0,False,2,Clear,-17.688888888888886,-17.66670283806344,0.55,0.1045,0,5,5.0
70,71,04-01-2011,Spring,1,1,False,2,Clear,-17.688888888888886,-17.67677777777778,0.59,0.1045,0,2,2.0
71,72,04-01-2011,Spring,1,2,False,2,Clear,-17.700000000000003,-17.69361111111111,0.63,0.1343,0,1,1.0
72,73,04-01-2011,Spring,1,4,False,2,Clear,-17.700000000000003,-17.67677777777778,0.63,0.0896,0,2,2.0
73,74,04-01-2011,Spring,1,5,False,2,Clear,-17.711111111111112,-17.69361111111111,0.68,0.1045,0,4,4.0
74,75,04-01-2011,Spring,1,6,False,2,Clear,-17.711111111111112,-17.69361111111111,0.74,0.1045,0,36,36.0
75,76,04-01-2011,Spring,1,7,False,2,Clear,-17.711111111111112,-17.69361111111111,0.74,0.1343,2,92,94.0
76,77,04-01-2011,Spring,1,8,False,2,Clear,-17.700000000000003,-17.69361111111111,0.69,0.1642,2,177,179.0
77,78,04-01-2011,Spring,1,9,False,2,Clear,-17.688888888888886,-17.69361111111111,0.64,0.2239,2,98,100.0
78,79,04-01-2011,Spring,1,10,False,2,Mist,-17.688888888888886,-17.702,0.69,0.3284,5,37,42.0
79,80,04-01-2011,Spring,1,11,False,2,Clear,-17.655555555555555,-17.659944444444445,0.51,0.2985,7,50,57.0
80,81,04-01-2011,Spring,1,12,False,2,Clear,-17.655555555555555,-17.6515,0.51,0.1642,12,66,78.0
81,82,04-01-2011,Spring,1,13,False,2,Clear,-17.644444444444446,-17.6515,0.56,0.194,18,79,97.0
82,83,04-01-2011,Spring,1,14,False,2,Clear,-17.633333333333333,-17.634666666666664,0.52,0.2239,9,54,63.0
83,84,04-01-2011,Spring,1,15,False,2,Clear,-17.62222222222222,-17.62627777777778,0.52,0.2537,17,48,65.0
84,85,04-01-2011,Spring,1,16,False,2,Clear,-17.61111111111111,-17.617833333333333,0.49,0.2537,15,68,83.0
85,86,04-01-2011,Spring,1,17,False,2,Clear,-17.62222222222222,-17.62627777777778,0.48,0.2239,10,202,183.5
86,87,04-01-2011,Spring,1,18,False,2,Clear,-17.633333333333333,-17.634666666666664,0.48,0.194,3,179,182.0
87,88,04-01-2011,Spring,1,19,False,2,Clear,-17.644444444444446,-17.634666666666664,0.48,0.1045,2,110,112.0
88,89,04-01-2011,Spring,1,20,False,2,Clear,-17.644444444444446,-17.634666666666664,0.48,0.1045,1,53,54.0
89,90,04-01-2011,Spring,1,21,False,2,Clear,-17.655555555555555,-17.62627777777778,0.64,0.0,0,48,48.0
90,91,04-01-2011,Spring,1,22,False,2,Clear,-17.655555555555555,-17.634666666666664,0.64,0.0896,1,34,35.0
91,92,04-01-2011,Spring,1,23,False,2,Clear,-17.666666666666668,-17.6515,0.69,0.0896,2,9,11.0
92,93,05-01-2011,Spring,1,0,False,3,Clear,-17.666666666666668,-17.634666666666664,0.64,0.0,0,6,6.0
93,94,05-01-2011,Spring,1,1,False,3,Clear,-17.688888888888886,-17.668333333333337,0.74,0.0896,0,6,6.0
94,95,05-01-2011,Spring,1,2,False,3,Clear,-17.688888888888886,-17.668333333333337,0.74,0.0896,0,2,2.0
95,96,05-01-2011,Spring,1,4,False,3,Clear,-17.644444444444446,-17.6515,0.48,0.2239,0,2,2.0
96,97,05-01-2011,Spring,1,5,False,3,Clear,-17.655555555555555,-17.6515,0.47,0.1642,0,3,3.0
97,98,05-01-2011,Spring,1,6,False,3,Clear,-17.666666666666668,-17.668333333333337,0.47,0.2239,0,33,33.0
98,99,05-01-2011,Spring,1,7,False,3,Clear,-17.677777777777777,-17.67677777777778,0.43,0.194,1,87,88.0
99,100,05-01-2011,Spring,1,8,False,3,Clear,-17.666666666666668,-17.67677777777778,0.4,0.2985,3,192,183.5
100,101,05-01-2011,Spring,1,9,False,3,Clear,-17.655555555555555,-17.668333333333337,0.37,0.3284,6,109,115.0
101,102,05-01-2011,Spring,1,10,False,3,Clear,-17.655555555555555,-17.668333333333337,0.37,0.3284,4,53,57.0
102,103,05-01-2011,Spring,1,11,False,3,Clear,-17.633333333333333,-17.6515,0.33,0.3284,12,34,46.0
103,104,05-01-2011,Spring,1,12,False,3,Clear,-17.633333333333333,-17.6515,0.33,0.3284,5,74,79.0
104,105,05-01-2011,Spring,1,13,False,3,Clear,-17.62222222222222,-17.634666666666664,0.3,0.2985,6,65,71.0
105,106,05-01-2011,Spring,1,14,False,3,Clear,-17.61111111111111,-17.617833333333333,0.28,0.194,10,52,62.0
106,107,05-01-2011,Spring,1,15,False,3,Clear,-17.61111111111111,-17.617833333333333,0.28,0.194,7,55,62.0
107,108,05-01-2011,Spring,1,16,False,3,Clear,-17.61111111111111,-17.601,0.28,0.0896,4,85,89.0
108,109,05-01-2011,Spring,1,17,False,3,Clear,-17.644444444444446,-17.6515,0.38,0.194,4,186,183.5
109,110,05-01-2011,Spring,1,18,False,3,Clear,-17.644444444444446,-17.64311111111111,0.38,0.1343,3,166,169.0
110,111,05-01-2011,Spring,1,19,False,3,Clear,-17.644444444444446,-17.634666666666664,0.38,0.1045,5,127,132.0
111,112,05-01-2011,Spring,1,20,False,3,Clear,-17.655555555555555,-17.6515,0.47,0.1642,7,82,89.0
112,113,05-01-2011,Spring,1,21,False,3,Clear,-17.666666666666668,-17.668333333333337,0.51,0.194,3,40,43.0
113,114,05-01-2011,Spring,1,22,False,3,Clear,-17.677777777777777,-17.668333333333337,0.55,0.1343,1,41,42.0
114,115,05-01-2011,Spring,1,23,False,3,Clear,-17.666666666666668,-17.634666666666664,0.47,0.0,1,18,19.0
115,116,06-01-2011,Spring,1,0,False,4,Clear,-17.677777777777777,-17.64311111111111,0.55,0.0,0,11,11.0
116,117,06-01-2011,Spring,1,1,False,4,Clear,-17.688888888888886,-17.6515,0.64,0.0,0,4,4.0
117,118,06-01-2011,Spring,1,2,False,4,Clear,-17.688888888888886,-17.6515,0.64,0.0,0,2,2.0
118,119,06-01-2011,Spring,1,4,False,4,Mist,-17.688888888888886,-17.668333333333337,0.64,0.0896,0,1,1.0
119,120,06-01-2011,Spring,1,5,False,4,Mist,-17.700000000000003,-17.67677777777778,0.69,0.0896,0,4,4.0
120,121,06-01-2011,Spring,1,6,False,4,Mist,-17.700000000000003,-17.685166666666667,0.63,0.1045,0,36,36.0
121,122,06-01-2011,Spring,1,7,False,4,Mist,-17.688888888888886,-17.6515,0.59,0.0,0,95,95.0
122,123,06-01-2011,Spring,1,8,False,4,Clear,-17.688888888888886,-17.6515,0.59,0.0,3,216,183.5
123,124,06-01-2011,Spring,1,9,False,4,Mist,-17.677777777777777,-17.64311111111111,0.51,0.0,6,116,122.0
124,125,06-01-2011,Spring,1,10,False,4,Clear,-17.666666666666668,-17.634666666666664,0.47,0.0,3,42,45.0
125,126,06-01-2011,Spring,1,11,False,4,Clear,-17.655555555555555,-17.634666666666664,0.44,0.0896,2,57,59.0
126,127,06-01-2011,Spring,1,12,False,4,Clear,-17.633333333333333,-17.617833333333333,0.35,0.0,6,78,84.0
127,128,06-01-2011,Spring,1,13,False,4,Clear,-17.633333333333333,-17.62627777777778,0.35,0.1045,12,55,67.0
128,129,06-01-2011,Spring,1,14,False,4,Clear,-17.62222222222222,-17.62627777777778,0.36,0.1642,11,59,70.0
129,130,06-01-2011,Spring,1,15,False,4,Clear,-17.62222222222222,-17.62627777777778,0.36,0.0,8,54,62.0
130,131,06-01-2011,Spring,1,16,False,4,Clear,-17.633333333333333,-17.634666666666664,0.38,0.1642,12,74,86.0
131,132,06-01-2011,Spring,1,17,False,4,Clear,-17.655555555555555,-17.6515,0.51,0.1642,9,163,172.0
132,133,06-01-2011,Spring,1,18,False,4,Clear,-17.655555555555555,-17.6515,0.51,0.1343,5,158,163.0
133,134,06-01-2011,Spring,1,19,False,4,Clear,-17.655555555555555,-17.634666666666664,0.55,0.0896,3,109,112.0
134,135,06-01-2011,Spring,1,20,False,4,Clear,-17.666666666666668,-17.659944444444445,0.51,0.1642,3,66,69.0
135,136,06-01-2011,Spring,1,21,False,4,Mist,-17.655555555555555,-17.659944444444445,0.55,0.2239,0,48,48.0
136,137,06-01-2011,Spring,1,22,False,4,Mist,-17.655555555555555,-17.659944444444445,0.51,0.2836,1,51,52.0
137,138,06-01-2011,Spring,1,23,False,4,Mist,-17.666666666666668,-17.668333333333337,0.59,0.194,4,19,23.0
138,139,07-01-2011,Spring,1,0,False,5,Mist,-17.666666666666668,-17.668333333333337,0.64,0.194,4,13,17.0
139,140,07-01-2011,Spring,1,1,False,5,Mist,-17.666666666666668,-17.668333333333337,0.69,0.2239,2,5,7.0
140,141,07-01-2011,Spring,1,2,False,5,Mist,-17.666666666666668,-17.668333333333337,0.69,0.2239,0,1,1.0
141,142,07-01-2011,Spring,1,4,False,5,Mist,-17.666666666666668,-17.659944444444445,0.69,0.1343,0,1,1.0
142,143,07-01-2011,Spring,1,5,False,5,Light Snow,-17.655555555555555,-17.62627777777778,0.55,0.0,0,5,5.0
143,144,07-01-2011,Spring,1,6,False,5,Mist,-17.666666666666668,-17.634666666666664,0.69,0.0,8,26,34.0
144,145,07-01-2011,Spring,1,7,False,5,Clear,-17.666666666666668,-17.659944444444445,0.69,0.1343,8,76,84.0
145,146,07-01-2011,Spring,1,8,False,5,Clear,-17.666666666666668,-17.668333333333337,0.51,0.2537,20,190,183.5
146,147,07-01-2011,Spring,1,9,False,5,Clear,-17.666666666666668,-17.67677777777778,0.47,0.2985,9,125,134.0
147,148,07-01-2011,Spring,1,10,False,5,Clear,-17.655555555555555,-17.668333333333337,0.37,0.3284,16,47,63.0
148,149,07-01-2011,Spring,1,11,False,5,Mist,-17.666666666666668,-17.668333333333337,0.4,0.2239,19,48,67.0
149,150,07-01-2011,Spring,1,12,False,5,Mist,-17.666666666666668,-17.668333333333337,0.37,0.2537,9,50,59.0
150,151,07-01-2011,Spring,1,13,False,5,Mist,-17.666666666666668,-17.67677777777778,0.37,0.2836,9,64,73.0
151,152,07-01-2011,Spring,1,14,False,5,Mist,-17.666666666666668,-17.668333333333337,0.4,0.2537,7,43,50.0
152,153,07-01-2011,Spring,1,15,False,5,Mist,-17.666666666666668,-17.659944444444445,0.37,0.1642,9,63,72.0
153,154,07-01-2011,Spring,1,16,False,5,Mist,-17.666666666666668,-17.659944444444445,0.37,0.1642,5,82,87.0
154,155,07-01-2011,Spring,1,17,False,5,Mist,-17.666666666666668,-17.634666666666664,0.37,0.0,9,178,183.5
155,156,07-01-2011,Spring,1,18,False,5,Clear,-17.666666666666668,-17.6515,0.4,0.0896,7,116,123.0
156,157,07-01-2011,Spring,1,19,False,5,Clear,-17.688888888888886,-17.668333333333337,0.55,0.0896,3,92,95.0
157,158,07-01-2011,Spring,1,20,False,5,Clear,-17.677777777777777,-17.659944444444445,0.47,0.1045,1,50,51.0
158,159,07-01-2011,Spring,1,21,False,5,Clear,-17.677777777777777,-17.668333333333337,0.47,0.1343,0,39,39.0
159,160,07-01-2011,Spring,1,22,False,5,Mist,-17.677777777777777,-17.668333333333337,0.43,0.1642,2,34,36.0
160,161,07-01-2011,Spring,1,23,False,5,Mist,-17.677777777777777,-17.668333333333337,0.51,0.1642,1,14,15.0
161,162,08-01-2011,Spring,1,0,False,6,Mist,-17.677777777777777,-17.668333333333337,0.51,0.1642,1,24,25.0
162,163,08-01-2011,Spring,1,1,False,6,Mist,-17.677777777777777,-17.659944444444445,0.55,0.0896,1,15,16.0
163,164,08-01-2011,Spring,1,2,False,6,Mist,-17.677777777777777,-17.64311111111111,0.55,0.0,3,13,16.0
164,165,08-01-2011,Spring,1,3,False,6,Light Snow,-17.677777777777777,-17.668333333333337,0.55,0.1642,0,7,7.0
165,166,08-01-2011,Spring,1,4,False,6,Light Snow,-17.677777777777777,-17.668333333333337,0.55,0.1642,0,1,1.0
166,167,08-01-2011,Spring,1,5,False,6,Mist,-17.688888888888886,-17.685166666666667,0.74,0.1642,0,5,5.0
167,168,08-01-2011,Spring,1,6,False,6,Mist,-17.688888888888886,-17.685166666666667,0.74,0.1642,0,2,2.0
168,169,08-01-2011,Spring,1,7,False,6,Mist,-17.688888888888886,-17.67677777777778,0.74,0.1045,1,8,9.0
169,170,08-01-2011,Spring,1,8,False,6,Light Snow,-17.688888888888886,-17.67677777777778,0.93,0.1045,0,15,15.0
170,171,08-01-2011,Spring,1,9,False,6,Light Snow,-17.688888888888886,-17.67677777777778,0.93,0.1045,0,20,20.0
171,172,08-01-2011,Spring,1,10,False,6,Mist,-17.677777777777777,-17.668333333333337,0.8,0.1642,5,56,61.0
172,173,08-01-2011,Spring,1,11,False,6,Mist,-17.666666666666668,-17.67677777777778,0.69,0.3881,2,60,62.0
173,174,08-01-2011,Spring,1,12,False,6,Mist,-17.666666666666668,-17.67677777777778,0.59,0.3582,8,90,98.0
174,175,08-01-2011,Spring,1,13,False,6,Clear,-17.666666666666668,-17.67677777777778,0.44,0.3284,7,95,102.0
175,176,08-01-2011,Spring,1,14,False,6,Clear,-17.666666666666668,-17.685166666666667,0.32,0.4925,12,83,95.0
176,177,08-01-2011,Spring,1,15,False,6,Clear,-17.666666666666668,-17.685166666666667,0.32,0.4478,5,69,74.0
177,178,08-01-2011,Spring,1,16,False,6,Clear,-17.677777777777777,-17.702,0.29,0.4478,8,68,76.0
178,179,08-01-2011,Spring,1,17,False,6,Clear,-17.688888888888886,-17.710444444444445,0.37,0.5522,5,64,69.0
179,180,08-01-2011,Spring,1,18,False,6,Clear,-17.700000000000003,-17.710444444444445,0.39,0.2985,3,52,55.0
180,181,08-01-2011,Spring,1,19,False,6,Clear,-17.700000000000003,-17.710444444444445,0.36,0.2537,4,26,30.0
181,182,08-01-2011,Spring,1,20,False,6,Clear,-17.711111111111112,-17.710444444444445,0.36,0.2537,0,28,28.0
182,183,08-01-2011,Spring,1,21,False,6,Clear,-17.711111111111112,-17.718833333333333,0.39,0.3582,2,35,37.0
183,184,08-01-2011,Spring,1,22,False,6,Clear,-17.711111111111112,-17.718833333333333,0.36,0.3881,1,33,34.0
184,185,08-01-2011,Spring,1,23,False,6,Clear,-17.72222222222222,-17.74411111111111,0.39,0.4478,0,22,22.0
185,186,09-01-2011,Spring,1,0,False,0,Clear,-17.72222222222222,-17.735666666666663,0.42,0.3881,1,24,25.0
186,187,09-01-2011,Spring,1,1,False,0,Clear,-17.72222222222222,-17.74411111111111,0.42,0.4627,0,12,12.0
187,188,09-01-2011,Spring,1,2,False,0,Clear,-17.72222222222222,-17.74411111111111,0.46,0.4627,0,11,11.0
188,189,09-01-2011,Spring,1,3,False,0,Clear,-17.72222222222222,-17.735666666666663,0.46,0.4179,0,4,4.0
189,190,09-01-2011,Spring,1,4,False,0,Clear,-17.733333333333334,-17.72727777777778,0.53,0.194,0,1,1.0
190,191,09-01-2011,Spring,1,5,False,0,Clear,-17.733333333333334,-17.72727777777778,0.53,0.194,0,1,1.0
191,192,09-01-2011,Spring,1,6,False,0,Clear,-17.72222222222222,-17.72727777777778,0.49,0.2836,0,1,1.0
192,193,09-01-2011,Spring,1,7,False,0,Clear,-17.733333333333334,-17.72727777777778,0.53,0.194,1,5,6.0
193,194,09-01-2011,Spring,1,8,False,0,Clear,-17.72222222222222,-17.72727777777778,0.49,0.2836,0,10,10.0
194,195,09-01-2011,Spring,1,9,False,0,Clear,-17.711111111111112,-17.735666666666663,0.46,0.5224,0,19,19.0
195,196,09-01-2011,Spring,1,10,False,0,Clear,-17.700000000000003,-17.718833333333333,0.43,0.3881,0,49,49.0
196,197,09-01-2011,Spring,1,11,False,0,Clear,-17.688888888888886,-17.710444444444445,0.4,0.5224,2,47,49.0
197,198,09-01-2011,Spring,1,12,False,0,Clear,-17.677777777777777,-17.702,0.37,0.4478,4,79,83.0
198,199,09-01-2011,Spring,1,13,False,0,Clear,-17.666666666666668,-17.685166666666667,0.34,0.4478,6,69,75.0
199,200,09-01-2011,Spring,1,14,False,0,Clear,-17.655555555555555,-17.67677777777778,0.32,0.4627,8,64,72.0
200,201,09-01-2011,Spring,1,15,False,0,Clear,-17.655555555555555,-17.668333333333337,0.35,0.3582,5,77,82.0
201,202,09-01-2011,Spring,1,16,False,0,Clear,-17.666666666666668,-17.685166666666667,0.34,0.4478,13,79,92.0
202,203,09-01-2011,Spring,1,17,False,0,Clear,-17.677777777777777,-17.69361111111111,0.37,0.3881,3,59,62.0
203,204,09-01-2011,Spring,1,18,False,0,Clear,-17.688888888888886,-17.702,0.4,0.3284,4,44,48.0
204,205,09-01-2011,Spring,1,19,False,0,Clear,-17.688888888888886,-17.702,0.43,0.3284,1,40,41.0
205,206,09-01-2011,Spring,1,20,False,0,Clear,-17.700000000000003,-17.710444444444445,0.46,0.2537,0,38,38.0
206,207,09-01-2011,Spring,1,21,False,0,Clear,-17.700000000000003,-17.718833333333333,0.46,0.4179,1,19,20.0
207,208,09-01-2011,Spring,1,22,False,0,Clear,-17.700000000000003,-17.710444444444445,0.46,0.2985,5,10,15.0
208,209,09-01-2011,Spring,1,23,False,0,Clear,-17.711111111111112,-17.702,0.5,0.194,0,6,6.0
209,210,10-01-2011,Spring,1,0,False,1,Clear,-17.711111111111112,-17.710444444444445,0.5,0.2836,2,3,5.0
210,211,10-01-2011,Spring,1,1,False,1,Clear,-17.711111111111112,-17.710444444444445,0.5,0.2836,1,0,1.0
211,212,10-01-2011,Spring,1,2,False,1,Clear,-17.711111111111112,-17.710444444444445,0.5,0.2239,0,3,3.0
212,213,10-01-2011,Spring,1,3,False,1,Clear,-17.711111111111112,-17.710444444444445,0.5,0.2239,0,1,1.0
213,214,10-01-2011,Spring,1,4,False,1,Clear,-17.72222222222222,-17.710444444444445,0.54,0.1343,1,2,3.0
214,215,10-01-2011,Spring,1,5,False,1,Clear,-17.72222222222222,-17.718833333333333,0.54,0.2537,0,3,3.0
215,216,10-01-2011,Spring,1,6,False,1,Clear,-17.711111111111112,-17.710444444444445,0.5,0.2836,0,31,31.0
216,217,10-01-2011,Spring,1,7,False,1,Clear,-17.711111111111112,-17.710444444444445,0.5,0.2239,2,75,77.0
217,218,10-01-2011,Spring,1,8,False,1,Mist,-17.711111111111112,-17.710444444444445,0.5,0.2836,4,184,183.5
218,219,10-01-2011,Spring,1,9,False,1,Mist,-17.700000000000003,-17.710444444444445,0.5,0.2537,2,92,94.0
219,220,10-01-2011,Spring,1,10,False,1,Mist,-17.700000000000003,-17.710444444444445,0.5,0.2985,0,31,31.0
220,221,10-01-2011,Spring,1,11,False,1,Mist,-17.688888888888886,-17.702,0.47,0.2836,2,28,30.0
221,222,10-01-2011,Spring,1,12,False,1,Mist,-17.666666666666668,-17.67677777777778,0.4,0.2836,5,47,52.0
222,223,10-01-2011,Spring,1,13,False,1,Mist,-17.666666666666668,-17.67677777777778,0.4,0.2836,4,50,54.0
223,224,10-01-2011,Spring,1,14,False,1,Mist,-17.666666666666668,-17.668333333333337,0.4,0.2239,0,47,47.0
224,225,10-01-2011,Spring,1,15,False,1,Mist,-17.666666666666668,-17.668333333333337,0.4,0.2239,2,43,45.0
